Name;Asia;Europe;Africa;Oceania;North America;Antarctica;South America;car Gross Export;golf car Gross Export;bus Gross Export;aicraft Gross Export;parachutes Gross Export
Hungary;0;1;0;0;0;0;0;11857808384,00;3621266,00;36074472,00;1621551,00;1900778,00
Croatia;0;1;0;0;0;0;0;359622208,00;241960,00;13393094,00;8379029,00;941868,00
Haiti;0;0;0;0;1;0;0;286681,00;0,00;2274,00;1007394,00;0,00
Indonesia;1;0;0;0;0;0;0;4031311616,00;260187,00;38869084,00;40773492,00;22001,00
Iran;1;0;0;0;0;0;0;1389212,00;0,00;524184,00;134828,00;0,00
India;1;0;0;0;0;0;0;6747685376,00;2444290,00;205855840,00;38648508,00;770831,00
Ireland;0;1;0;0;0;0;0;29601352,00;2974430,00;16303252,00;3747360768,00;22091,00
Italy;0;1;0;0;0;0;0;15028946944,00;9834248,00;114998488,00;1169592960,00;2642246,00
Iraq;1;0;0;0;0;0;0;87340,00;0,00;0,00;0,00;0,00
Iceland;0;1;0;0;0;0;0;2096652,00;119423,00;4286491,00;66604988,00;0,00
Israel;1;0;0;0;0;0;0;10163782,00;605198,00;4175184,00;398220576,00;3385384,00
Japan;1;0;0;0;0;0;0;97681383424,00;32346945,00;2379344640,00;44880880,00;198905,00
Jamaica;0;0;0;0;1;0;0;4772236,00;0,00;31508,00;0,00;0,00
Jordan;1;0;0;0;0;0;0;37796056,00;9701,00;4719583,00;1730852,00;0,00
Kazakhstan;1;0;0;0;0;0;0;36684160,00;334553,00;821358,00;237417232,00;3844,00
Kiribati;0;0;0;1;0;0;0;6821,00;0,00;0,00;0,00;0,00
Kenya;0;0;1;0;0;0;0;4521356,00;10545,00;11080360,00;4506232,00;16773,00
Kyrgyzstan;1;0;0;0;0;0;0;2726296,00;48021,00;23036,00;4738483,00;18074,00
Cambodia;1;0;0;0;0;0;0;946547,00;0,00;0,00;37154012,00;0,00
Kuwait;1;0;0;0;0;0;0;509965024,00;15742,00;14271145,00;1919297920,00;0,00
Saint Kitts and Nevis;0;0;0;0;1;0;0;48273,00;0,00;0,00;0,00;0,00
South Korea;0;0;0;0;0;0;1;37088698368,00;4129651,00;713945536,00;595027776,00;6540994,00
Laos;1;0;0;0;0;0;0;164561,00;0,00;14043,00;2158438,00;0,00
Sri Lanka;1;0;0;0;0;0;0;1749663,00;1155,00;184120,00;413847,00;8091562,00
Lebanon;1;0;0;0;0;0;0;3998571,00;581250,00;211956,00;0,00;2387,00
Libya;0;0;1;0;0;0;0;920982,00;0,00;0,00;0,00;0,00
Liberia;0;0;1;0;0;0;0;603628,00;0,00;0,00;45660,00;0,00
