Mese;Cesare-Romolo;Romolo: (Tutto il mondo);Cesare-Dante;Dante Alighieri: (Tutto il mondo);Cesare-daVinci;Leonardo da Vinci: (Tutto il mondo);Cesare-Mussolini;Benito Mussolini: (Tutto il mondo);Cesare-Savoia;Umberto II di Savoia: (Tutto il mondo);Cesare-Rita;Rita Levi-Montalcini: (Tutto il mondo);Cesare-Berlusconi;Silvio Berlusconi: (Tutto il mondo);Cesare-Draghi;Mario Draghi: (Tutto il mondo)
2004-01;82;2;70;38;4;14;82;36;82;0;82;1;37;16;45;1
2004-02;90;3;76;43;4;15;90;38;90;0;90;0;41;13;50;2
2004-03;100;2;85;45;5;16;100;47;100;0;100;2;45;11;55;2
2004-04;87;3;74;42;4;16;87;50;87;0;87;1;39;15;48;1
2004-05;96;2;82;45;4;16;96;43;96;0;96;1;44;12;53;1
2004-06;56;3;47;33;3;13;56;30;56;0;56;1;25;16;31;1
2004-07;36;2;30;26;2;12;36;20;36;0;36;2;16;8;20;2
2004-08;39;1;33;28;2;14;39;22;39;0;39;1;17;11;21;1
2004-09;51;2;44;39;2;17;51;28;51;0;51;1;23;9;28;1
2004-10;69;2;59;40;3;15;69;32;69;1;69;1;31;8;38;2
2004-11;81;2;69;42;4;15;81;31;81;0;81;1;37;11;45;1
2004-12;65;2;56;35;3;15;65;25;65;0;65;0;30;11;36;1
2005-01;71;2;60;38;3;19;71;31;71;0;71;1;32;12;39;1
2005-02;72;3;61;40;3;17;72;35;72;0;72;1;33;12;40;2
2005-03;85;2;72;40;4;18;85;44;85;0;85;2;38;9;47;2
2005-04;87;2;74;43;4;100;87;49;87;0;87;2;39;16;48;2
2005-05;84;2;72;39;4;16;84;47;84;1;84;2;38;10;47;2
2005-06;52;2;45;32;2;13;52;28;52;0;52;2;24;9;29;2
2005-07;34;1;29;23;2;11;34;18;34;0;34;1;15;7;19;2
2005-08;35;2;30;29;2;13;35;20;35;0;35;1;16;8;19;1
2005-09;58;2;49;34;3;13;58;23;58;0;58;1;26;8;32;1
2005-10;69;2;59;37;3;12;69;27;69;0;69;1;31;10;38;1
2005-11;81;3;69;39;4;11;81;30;81;0;81;1;37;10;45;2
2005-12;62;3;52;34;3;12;62;27;62;0;62;1;28;11;34;3
2006-01;65;2;56;35;3;12;65;29;65;0;65;1;30;15;36;2
2006-02;64;2;54;37;3;12;64;35;64;0;64;1;29;19;35;3
2006-03;72;2;62;37;3;14;72;45;72;1;72;1;33;44;40;2
2006-04;59;1;51;37;3;22;59;39;59;0;59;2;27;53;33;2
2006-05;69;2;59;35;3;56;69;38;69;1;69;2;31;12;38;2
2006-06;37;1;32;27;2;22;37;28;37;1;37;1;17;8;20;2
2006-07;25;1;21;22;1;9;25;17;25;0;25;0;11;6;14;2
2006-08;27;1;23;23;1;8;27;16;27;0;27;1;12;5;15;1
2006-09;43;1;37;32;2;9;43;25;43;0;43;1;20;6;24;1
2006-10;51;2;43;32;2;9;51;25;51;0;51;1;23;6;28;2
2006-11;53;2;45;33;2;10;53;26;53;0;53;2;24;12;29;2
2006-12;46;2;39;31;2;8;46;23;46;1;46;1;21;8;25;2
2007-01;52;1;44;33;2;8;52;26;52;0;52;1;23;7;28;2
2007-02;50;1;43;32;2;7;50;27;50;0;50;1;23;10;28;2
2007-03;55;2;46;32;2;8;55;30;55;0;55;1;25;5;30;2
2007-04;48;2;41;31;2;7;48;28;48;0;48;1;22;9;27;2
2007-05;58;2;49;30;3;7;58;32;58;0;58;1;26;7;32;2
2007-06;35;2;30;27;2;5;35;23;35;0;35;1;16;5;19;2
2007-07;27;1;23;22;1;4;27;16;27;0;27;1;12;5;15;2
2007-08;27;1;23;22;1;5;27;16;27;0;27;0;12;6;15;1
2007-09;35;2;30;28;2;6;35;19;35;0;35;1;16;4;19;2
2007-10;42;1;35;30;2;6;42;22;42;0;42;3;19;5;23;2
2007-11;43;2;36;37;2;7;43;25;43;0;43;1;19;7;24;2
2007-12;39;2;33;32;2;5;39;20;39;0;39;1;18;8;22;2
2008-01;39;2;33;32;2;6;39;23;39;0;39;1;18;7;22;2
2008-02;41;2;35;33;2;6;41;25;41;0;41;2;19;12;23;1
2008-03;40;1;34;29;2;6;40;27;40;0;40;2;18;12;22;2
2008-04;43;1;37;29;2;6;43;32;43;0;43;2;20;37;24;2
2008-05;45;2;38;30;2;6;45;31;45;0;45;2;20;19;25;2
2008-06;32;2;27;24;1;4;32;21;32;0;32;1;14;11;17;2
2008-07;21;1;18;20;1;3;21;14;21;0;21;0;10;16;12;1
2008-08;23;1;20;21;1;3;23;13;23;0;23;1;11;10;13;2
2008-09;34;2;29;28;2;5;34;18;34;0;34;1;16;9;19;2
2008-10;37;1;31;28;2;5;37;20;37;0;37;1;17;12;20;2
2008-11;36;2;31;29;2;5;36;21;36;0;36;3;16;18;20;2
2008-12;36;1;30;27;2;5;36;19;36;0;36;2;16;10;20;2
2009-01;34;1;29;34;2;5;34;22;34;0;34;2;15;10;19;2
2009-02;38;1;32;33;2;5;38;25;38;0;38;1;17;12;21;2
2009-03;41;1;35;35;2;6;41;30;41;0;41;2;18;12;23;2
2009-04;38;1;32;26;2;5;38;29;38;0;38;8;17;25;21;2
2009-05;44;1;37;29;2;7;44;30;44;0;44;3;20;47;24;2
2009-06;30;1;25;24;1;5;30;23;30;0;30;2;13;86;16;2
2009-07;21;1;18;20;1;3;21;14;21;0;21;1;9;26;11;2
2009-08;22;1;19;22;1;4;22;14;22;0;22;1;10;18;12;2
2009-09;29;1;24;26;1;5;29;19;29;0;29;2;13;28;16;2
2009-10;33;1;28;28;2;6;33;20;33;0;33;2;15;33;18;1
2009-11;33;1;28;30;2;5;33;30;33;0;33;1;15;17;18;2
2009-12;30;1;25;33;1;4;30;28;30;0;30;1;13;99;16;2
2010-01;30;1;26;41;1;5;30;22;30;0;30;1;14;15;17;2
2010-02;37;1;31;100;2;5;37;24;37;0;37;2;17;14;20;2
