Mese;Cesare-Rita;Rita Levi-Montalcini: (Italia);Cesare-Savoia;Umberto II di Savoia: (Italia);Cesare-Mussolini;Benito Mussolini: (Italia);Cesare-da Vinci;Leonardo da Vinci: (Italia);Cesare-Romolo;Romolo: (Italia);Cesare-Dante;Dante Alighieri: (Italia);Cesare-Draghi;Mario Draghi: (Italia);Cesare-Berlusconi;Silvio Berlusconi: (Italia)
2004-01;10;2;54;0;19;75;3;13;54;0;7;30;1;2;1;12
2004-02;0;0;0;0;0;59;0;14;0;0;0;34;0;2;0;10
2004-03;5;3;30;21;11;65;1;13;30;0;4;27;1;2;1;9
2004-04;7;4;40;0;14;72;2;17;40;0;5;26;1;2;1;12
2004-05;10;2;54;0;19;74;3;14;54;0;7;24;1;1;1;11
2004-06;6;0;34;0;12;82;2;12;34;0;4;20;1;1;1;13
2004-07;5;7;28;0;10;46;1;9;28;0;4;13;1;2;1;6
2004-08;5;0;26;0;9;53;1;19;26;0;3;11;1;2;1;10
2004-09;4;0;24;0;8;50;1;17;24;0;3;18;1;1;1;7
2004-10;8;0;44;8;16;54;2;18;44;0;6;28;1;2;1;6
2004-11;4;0;24;0;9;52;1;15;24;0;3;32;1;1;1;8
2004-12;6;2;31;8;11;51;2;16;31;0;4;27;1;1;1;8
2005-01;8;0;44;0;16;50;2;19;44;0;6;33;1;2;1;10
2005-02;8;2;45;12;16;60;2;19;45;6;6;34;1;2;1;10
2005-03;11;5;59;0;21;81;3;17;59;0;7;28;2;2;1;7
2005-04;9;6;47;0;17;71;2;100;47;0;6;29;1;2;1;13
2005-05;6;6;34;6;12;100;2;14;34;0;4;30;1;2;1;8
2005-06;2;2;13;12;5;65;1;13;13;0;2;26;0;2;0;7
2005-07;5;3;28;0;10;47;1;10;28;0;4;10;1;2;1;5
2005-08;6;0;36;13;13;47;2;13;36;0;5;10;1;2;1;8
2005-09;5;5;29;7;11;36;1;14;29;4;4;19;1;1;1;7
2005-10;5;2;25;0;9;44;1;12;25;0;3;28;1;2;1;8
2005-11;10;1;54;0;19;52;3;13;54;0;7;30;1;2;1;7
